rank,symbol,predicted_excess,sentiment,fundamental_edge,technical_outlook,conviction,supercharged_rank,data_confidence,rank_change,grok_upgrade,grok_downgrade
2,CRWD,"+15-25% over 63 days: Undervalued cybersecurity tailwinds from escalating global threats and enterprise spending, despite competition","neutral (limited real-time visibility, no provided sentiment data from StockTwits or observable X patterns)","Strong moat in AI-powered endpoint security with Falcon platform dominating enterprise adoption. Growth inflections from rising ransomware and nation-state attacks, but overvaluation at 20x forward sales risks compression if growth slows. Existential threats include commoditization by big tech like Microsoft and potential regulatory scrutiny on data privacy.","No real-time technical data provided; original quant signals highlight technical breakouts and 12-month momentum, but unable to confirm current patterns, support/resistance, or volume without updated metrics.",Buy,4,low,-2,False,True
3,CPRT,+12-22% over 63 days: Undervalued earnings quality and momentum in auto salvage sector amid rising insurance volumes,neutral (limited real-time visibility on X; no observable mention volume shifts or sentiment patterns detected),"Strong moat from proprietary online auction platform with high barriers to entry via global yard network and insurance partnerships. Growth inflection from increasing totaled vehicles due to complex repairs and EV adoption, potentially boosting volumes 10-15% YoY. Risks include cyclical exposure to accident rates and potential regulatory changes in salvage markets.","Quant signals indicate technical breakouts and 12-month momentum, but without real-time price data, unable to specify support/resistance or indicators; assume consolidation phase pending confirmation.",Buy,6,low,-3,False,True
5,IBKR,"+12-20% over 63 days: Undervalued earnings momentum from rising trading volumes and interest income, overlooked amid fintech sector rotation",neutral (limited real-time visibility; no recent X mention volume spikes or sentiment shifts observable),"Strong moat in low-cost electronic brokerage with global reach and proprietary tech platform, driving consistent earnings quality. Growth catalysts include higher interest rates boosting net interest income and potential volatility-driven trading volumes. Existential risks: Intense competition from zero-commission brokers and regulatory changes on payment for order flow.","Lacking real-time data; original quant signals indicate technical breakouts and 12-month momentum, but current patterns, support/resistance, and indicators unavailable for confirmation.",Buy,7,low,-2,False,True
1,CPB,"+8-15% over 63 days: Defensive consumer staples positioning amid economic uncertainty, with earnings quality undervalued in rotation to safety",neutral (limited real-time visibility; no recent X sentiment data provided to detect shifts),"Strong moat in iconic brands like Campbell's soups and snacks, providing stability in consumer staples sector with low volatility. Potential growth from recent acquisitions and organic volume recovery, but existential risks include persistent inflation eroding margins and competition from private labels amid consumer budget pressures. Overall, lacks explosive upside catalysts for massive alpha, more of a safe haven play.","Based on quant signals of technical breakouts and 12-month momentum, potential for continued range-bound strength; however, without provided real-time price, RSI, or volume data, unable to specify support/resistance or momentum signals accurately.",Buy,8,low,-7,False,True
6,INVH,"+8-15% over 63 days: Undervalued single-family rental growth amid housing shortage, but rate sensitivity caps upside",neutral (limited real-time visibility; no recent X sentiment data provided to assess shifts),"Strong moat from scale in single-family home leasing, benefiting from chronic US housing shortages and millennial homeownership delays. Growth catalysts include rent inflation and portfolio expansion, but existential risks from rising interest rates eroding REIT valuations and potential regulatory caps on rents. Brutally, overreliance on low rates era leaves it vulnerable to macro shifts without clear differentiation from peers.","No real-time technical data provided; original quant signals indicate technical breakouts and 12-month momentum, but unable to confirm current patterns, support/resistance, or momentum indicators without live price data",Buy,8,low,-2,False,True
11,APH,+8-15% over 63 days: Undervalued earnings quality and momentum in diversified interconnect markets amid sector rotation,neutral (limited real-time visibility; no recent X sentiment shifts observable),"Strong moat in electronic connectors with diversification across auto, IT, and industrial sectors reducing cyclical risks. Growth catalysts from EV adoption and data center expansion, but existential risks include supply chain disruptions and potential economic slowdown impacting capex. Brutally honest: Solid but not explosive; lacks AI hype edge compared to pure-play semis.",Based on quant model signals of technical breakouts and 12-month momentum; limited real-time data prevents specific support/resistance or indicator analysis,Buy,10,low,1,True,False
7,DOW,+5-12% over 63 days: cyclical recovery in chemicals undervalued amid stabilizing energy costs and industrial demand rebound,neutral (limited real-time visibility; no significant X mention volume shifts observed in available data),"Strong commodity chemicals moat with integrated production and global scale, but highly cyclical exposure to energy prices and economic downturns. Potential growth from sustainability initiatives and packaging demand, though existential risks include prolonged recession or overcapacity in petrochemicals. Brutally, earnings quality is solid but momentum could fade without broader industrial uptick.","Lacking real-time data for precise patterns; original quant signals suggest technical breakouts and momentum, but without current levels, assume holding above key moving averages with volume confirmation needed for conviction.",Hold,12,low,-5,False,True
4,CNP,+8-15% over 63 days: Utility sector rotation undervalued amid rate cut expectations and infrastructure spending,neutral (limited real-time visibility; no recent X mention volume spikes or sentiment shifts observable without current data),"Regulated utility moat provides stable cash flows from energy delivery in Texas and Midwest, with growth from grid modernization and renewable integration. Potential catalysts include infrastructure bill tailwinds and rate base expansion, but existential risks from regulatory changes, extreme weather events, and rising interest rates capping upside. Brutally, it's a defensive play with limited explosive growth potential in a high-rate environment.","Lacking real-time data, unable to confirm specific patterns or levels; original quant signals suggest technical breakouts and momentum, but without current price/volume, outlook is neutral pending fresh data.",Hold,12,low,-8,False,True
8,IP,"+5-15% over 63 days: Potential packaging demand recovery undervalued amid sector rotation, but cyclical risks cap upside",neutral (limited real-time visibility; no clear X mention volume shifts or sentiment patterns observable),"Strong moat in global packaging and cellulose fibers with diversified operations, but highly cyclical exposure to pulp prices and economic slowdowns. Growth catalysts include e-commerce packaging demand, though existential risks from sustainability shifts to alternatives and commodity volatility. Overall, solid earnings quality but lacks explosive inflection without macro tailwinds.","Limited real-time data; assuming prior breakout signals from quant model, watch for support at recent lows and momentum confirmation on volume, but no specific levels available without current data.",Hold,12,low,-4,False,True
10,NI,"+4-8% over 63 days: Stable utility cash flows undervalued amid sector rotation, but limited upside catalysts",neutral (limited real-time visibility; no clear X sentiment shifts observable),"Regulated utility moat provides predictable earnings and dividends, supported by infrastructure spending. Modest growth from rate base expansion and renewable transitions, but capped by regulatory oversight. Existential risks include interest rate hikes increasing debt costs and energy policy shifts disrupting fossil fuel reliance.","Limited real-time data; stock shows low volatility consolidation with potential support near recent lows and resistance at prior highs, lacking volume confirmation for breakout.",Hold,12,low,-2,False,True
9,DXCM,+8-15% over 63 days: Undervalued earnings quality and diabetes market expansion vs competitive pressures,neutral (limited real-time visibility),"Strong moat in continuous glucose monitoring via proprietary sensor tech and FDA approvals, but faces intensifying competition from Abbott's lower-cost alternatives eroding market share. Growth inflection from G7 sensor adoption and international expansion, though reimbursement cuts and insulin pump ecosystem dependencies pose hidden risks. Brutally, overreliance on US market (70% revenue) leaves it vulnerable to policy shifts without deeper diversification.","No real-time technical data provided; historically shows low-vol bases with momentum breakouts, but current setup unclear without updated price/volume/RSI confirmation. Watch for support at multi-month EMAs and volume spikes for validation.",Hold,14,low,-5,False,True
12,CMG,+8-15% over 63 days: Sustained same-store sales growth undervalued amid consumer resilience,neutral (limited real-time visibility; no recent X sentiment data provided to detect shifts),"Strong moat from brand loyalty and efficient operations in fast-casual dining, with growth catalysts in international expansion and digital ordering. Earnings quality supported by consistent margins, but existential risks include economic downturns hitting discretionary spending and intense competition from peers like QSR chains. Brutally, valuation appears stretched at high multiples, limiting asymmetric upside without a major catalyst.","Based on original quant signals of technical breakouts and momentum, potential for continuation if support holds; however, without provided real-time data, unable to specify key levels, RSI, or volume confirmation.",Hold,14,low,-2,False,True
13,CNC,+5-12% over 63 days: Potential stabilization in Medicaid enrollment post-redeterminations undervalued amid sector rotation into healthcare defensives,neutral (limited real-time visibility; no observable spike in X mention volume or sentiment shift from available patterns),"Strong moat in Medicaid managed care via scale and government contracts, with growth from ACA exchanges and Medicare Advantage expansion. Earnings quality supported by consistent margins, but existential risks from regulatory changes like reimbursement cuts or political shifts in healthcare policy. Overvaluation possible if enrollment declines persist without offsetting catalysts.","Limited real-time data provided; unable to confirm key patterns or levels. Original quant signals suggest technical breakouts and momentum, but without current price/volume, outlook neutral pending fresh data.",Hold,15,low,-2,False,True
18,AMD,"+5-15% over 63 days: Potential AI data center growth undervalued, but offset by high valuation multiples",neutral (limited real-time visibility; no recent X mention volume spikes or sentiment shifts observable),"Strong moat in x86 processors and emerging AI GPUs, with Ryzen and EPYC lines driving data center share gains against Intel. Growth catalysts include AI accelerator demand, but existential risks from Nvidia dominance in GPUs and potential semiconductor cycle downturn. Brutally, current P/E around 200x forward earnings screams overvaluation amid slowing PC market recovery.","Quant model highlights 12-month momentum and technical breakouts, but without real-time data, assume consolidation pattern with support at recent lows and resistance at prior highs; volume and RSI neutral pending updates.",Hold,15,low,3,True,False
17,EIX,"+4-8% over 63 days: Stable utility dividends undervalued in low-rate environment, but capped upside from regulatory constraints",neutral (limited real-time visibility on X; no observable shifts in mention volume or tone),"Regulated monopoly moat in Southern California provides steady cash flows, but wildfire liabilities pose existential balance sheet risks after multi-billion settlements. Growth from renewables and grid upgrades is modest and rate-base dependent, with no major inflection ahead. Overvaluation risk high if interest rates rise, squeezing dividend appeal.","No real-time technical data provided; quant model suggests potential consolidation with low volatility, but unable to confirm support/resistance or momentum without current levels.",Hold,16,low,1,True,False
16,NWS,+2-8% over 63 days: modest earnings stability undervalued but capped by media sector headwinds,neutral (limited real-time visibility; no recent X mention volume spikes or sentiment shifts observable),"Durable moat in premium journalism (WSJ, Dow Jones) with steady subscription revenue, but growth inflections limited by declining ad spend and digital competition. Earnings quality supports low volatility, yet existential risks from AI-driven content disruption and regulatory scrutiny on media consolidation loom large. Overall, lacks explosive catalysts for outsized returns in a fragmented industry.","No provided real-time technical data for patterns or levels; original quant signals noted 12-month momentum and breakouts, but without current RSI/MACD/volume, assessment defaults to neutral with unconfirmed support/resistance.",Hold,17,low,-1,False,True
20,LYB,"+2-8% over 63 days: modest cyclical recovery potential undervalued in chemicals sector, but capped by commodity volatility",neutral (limited real-time visibility; no observable X sentiment shifts provided in data),"Strong moat in global petrochemical scale and integrated refining, but highly cyclical with exposure to oil price swings and weak demand in plastics amid sustainability pressures. Growth catalysts limited to potential economic rebound, though existential risks from energy transition and regulations could erode margins long-term. Overvaluation risk high given original low quant rank and lack of asymmetric edge.","No real-time technical data provided; original quant signals suggest low volatility and potential breakouts, but without current levels, assume consolidation with unconfirmed momentum.",Hold,17,low,3,True,False
15,EBAY,"+2-8% over 63 days: Stable e-commerce player with limited growth inflection, potential modest upside from holiday season but capped by competition",neutral (limited real-time visibility),"eBay maintains a moat in niche auction and collectibles markets via network effects, but general e-commerce growth is stagnant amid fierce competition from Amazon and emerging platforms. No major catalysts like AI integration or expansion visible; existential risks include economic downturns reducing discretionary spending and regulatory scrutiny on marketplaces. Valuation appears fair-to-slightly overpriced relative to low-single-digit growth prospects.","Limited real-time data available; historical patterns suggest consolidation phase with potential support at multi-month lows, but lacks volume-backed breakout or momentum signals for strong upside.",Hold,17,low,-2,False,True
19,GL,"+2-8% over 63 days: Modest upside from stable earnings quality in low-vol environment, but no asymmetric catalysts identified",neutral (limited real-time visibility),Strong moat in direct-to-consumer life insurance distribution with high customer retention and predictable cash flows. Growth limited to mid-single digits due to mature industry and sensitivity to interest rates; existential risks include regulatory scrutiny on sales practices and potential claims spikes from demographic shifts.,"Quant model indicates technical breakouts and 12-month momentum, but no real-time price, volume, or indicator data provided for confirmation; assume holding pattern without support/resistance levels available.",Hold,17,low,2,True,False
14,INTC,-10-20% over 63 days: Ongoing execution failures and competitive erosion outweigh any short-term quant signals,neutral (limited real-time visibility),Intel's historical moat in PC and server CPUs is rapidly eroding due to AMD's gains and TSMC's foundry dominance; heavy investments in manufacturing have ballooned debt without clear returns. Potential growth from CHIPS Act subsidies is overshadowed by repeated delays in process nodes and AI chip competitiveness. Existential risks include further market share loss to rivals and potential irrelevance in high-growth AI sectors if turnaround efforts fail.,"Limited real-time data availability; no observable patterns, support/resistance, or momentum signals without current price and volume inputs.",Avoid,19,low,-5,False,True
